time,job ID,event type,scheduling class
96998208901,6259513290,4,0
96998208904,6259513292,0,0
96998209637,6259513514,4,1
97000515073,6259528962,0,1
97004504991,6259530808,1,0
97004505021,6259516536,1,0
97004505211,6259519136,1,0
97004514737,6259519671,1,0
97004514905,6259519747,1,0
97004514922,6259519790,1,0
97004514953,6259524536,1,0
97004516484,6259525447,1,0
97004900740,6259525548,4,0
97009840095,6259528962,1,1
97009840114,6259513292,1,0
97009905126,6259035064,4,2
97010797089,6259465974,4,0
97010798292,6259465607,4,2
97010798299,6259466091,1,2
97010798366,6259465864,5,0
97010798371,6259466091,5,2
97011872000,6259525606,4,0
97020669702,6259540081,0,0
97022681132,6259336193,4,1
97023701457,6259465574,4,2
97023701464,6259465915,1,2
97023701611,6259465677,5,0
97023701616,6259465915,5,2
97032384832,6259530808,4,0
97046012323,6259504324,4,0
97049396848,6259513292,4,0
97050808329,6259451620,4,1
97050808772,6259389700,4,1
97052484933,6259540151,0,1
97052491154,6259300319,4,1
97060155795,6259540151,1,1
97060156544,6259300956,1,1
97060156561,6259338001,1,2
97060156572,6259391217,1,0
97060156604,6259391372,1,0
97061665596,6259098136,4,2
97061665978,6259100842,5,0
97063772821,6259553162,0,0
97063772821,6259553162,1,0
97064963118,6259391540,1,2
97064963129,6259400660,1,0
97064963281,6259400752,1,0
97072890027,6259513363,4,1
97072891172,6259300351,4,1
97074407249,6259300923,4,1
97079991992,6259389706,0,1
97079996354,6259552454,0,1
97079998221,6259552456,0,1
97080000625,6259552485,0,1
97080011769,6259480904,4,2
97080012196,6259481879,5,0
97087114135,6259519747,4,0
97089229816,6259389706,1,1
97089229829,6259552454,1,1
97089229849,6259552456,1,1
97089229860,6259552485,1,1
97090536165,6259557277,0,0
97090536165,6259557277,1,0
97090580337,6259557279,0,0
97090587368,6259459737,4,0
97091671227,6259519044,4,2
97091671234,6259520282,1,2
97091671301,6259519671,5,0
97091671306,6259520282,5,2
97092729845,6259261365,4,2
97092729902,6259261541,5,0
97092729907,6259265579,5,2
97097443197,6259557279,1,0
97103795376,6259065495,5,2
97104921265,6259553160,0,0
97104923504,6259554118,0,1
97104991505,6259554148,0,2
97111590175,6259501669,4,2
97113513405,6259561162,0,0
97114475762,6259553160,1,0
97114475789,6259554118,1,1
97114475793,6259554186,0,1
97114475794,6259557048,0,1
97114475922,6259554148,1,2
97114475926,6259556947,0,0
97118600945,6259561162,1,0
97118600973,6259554186,1,1
97118603410,6259556947,1,0
97130186137,6256431698,4,0
97133079511,6259557279,4,0
97134688582,6259391016,4,2
97134688692,6259391217,5,0
97134688697,6259391372,5,0
97134688702,6259391540,5,2
97135898994,6259557440,0,1
97135906148,6259557566,0,2
97140695876,6259557566,1,2
97140695879,6259557819,0,0
